id	word	definition_cn	phonetic_uk	phonetic_us	ecdict_translation	ecdict_phonetic	ecdict_definition
SAT_4425	AluminumAl	n. 铝	/ə'ljuːminəm/	/ə'ljuːminəm/			
SAT_4430	cliché	n. 陈词滥调	/kliː'ʃei/	/kliː'ʃei/			
SAT_4427	distingusihed	adj. 著名的， 卓越的	/dis'tiŋgwiʃt/	/dis'tiŋgwiʃt/			
SAT_4449	Iron Fe	n. 铁	/'aiən/	/'aiən/			
SAT_4447	Oxygen O	n. 氧	/'ɔksidʒən/	/'ɔksidʒən/			
SAT_4434	PhosphorusP	n. 磷	/'fɔsfərəs/	/'fɔsfərəs/			
SAT_4444	projector lens	n. 放映机镜头	/projector lens/	/projector lens/			
SAT_4460	sulfur disoxide	n. 二氧化硫	/sulfur disoxide/	/sulfur disoxide/			
SAT_4462	transgenic animals	n. [遗] 转基因动物，转化的动物	/transgenic animals/	/transgenic animals/			
SAT_4442	undersize d	adj. 较一般为小的， 不够大的	/ˌʌndə'saiz (d)/	/,ʌdɚ'saɪzd/			
